ProductID	FOB	Duty	Freight	Other	Standard Unit Cost
A/DAN-29859	2.85	0.49	0.25	0.29000000000000004	3.88
A/DAN-94863	2.97	0.54	0.08	0.48	4.07
AC&S/10X-13891	8.47	1.48	0.28	1.5099999999999998	11.74
AC&S/4 N-48073	2.24	0.4	0.19	0.31999999999999984	3.15
AC&S/ALV-45850	14.12	2.42	1.08	2.3000000000000043	19.92
AC&S/BEA-01480	4.05	0.74	0.23	0.5699999999999994	5.59
AC&S/BEA-28360	8.72	1.35	0.25	0.5899999999999981	10.909999999999998
AC&S/BER-47106	5.98	1.06	0.35	0.5799999999999992	7.97
AC&S/BLU-45399	20.36	3.59	0.35	2.3999999999999986	26.7
AC&S/BUR-28556	5.12	0.87	0.23	1.0399999999999991	7.26
AC&S/CHE-86107	13.1	2.28	0.52	2.2600000000000016	18.16
AC&S/COP-00477	21.49	3.66	0.9	1.7700000000000031	27.82
AC&S/COU-03188	7.98	1.51	0.72	0.7199999999999989	10.93
AC&S/CRA-81775	24.32	3.73	0.37	2.0	30.42
AC&S/CRO-35257	3.93	0.72	0.31	0.23999999999999844	5.199999999999998
AC&S/DAR-48845	18.98	3.2	1.68	2.6900000000000013	26.55
AC&S/DAR-63732	4.64	0.83	0.17	0.5800000000000001	6.22
AC&S/DAR-68357	6.4	1.13	0.2	0.5499999999999989	8.28
AC&S/DAR-73085	5.97	0.94	0.39	0.3999999999999968	7.699999999999997
AC&S/DAR-88028	13.16	2.15	0.66	1.739999999999993	17.709999999999994
AC&S/DAY-74664	10.14	1.71	0.27	1.4299999999999997	13.55
AC&S/DUR-17576	15.88	2.96	1.1	1.9299999999999997	21.87
AC&S/ENV-19913	13.27	2.38	1.1	1.0700000000000003	17.82
AC&S/FOA-79867	18.3	2.92	0.51	1.879999999999999	23.61
AC&S/FOA-94613	4.03	0.71	0.07	0.39999999999999947	5.21
AC&S/KEL-86929	4.05	0.79	0.07	0.8099999999999996	5.72
AC&S/KOO-88888	3.49	0.56	0.14	0.40999999999999925	4.6
AC&S/KOY-21160	3.31	0.56	0.16	0.4500000000000002	4.48
AC&S/KUM-22376	18.88	3.37	0.6	1.6099999999999994	24.46
AC&S/MEG-80610	13.47	2.14	0.23	1.6099999999999977	17.45
AC&S/MID-74259	8.98	1.7	0.27	1.4900000000000002	12.44
AC&S/MIG-96422	2.06	0.36	0.03	0.3500000000000001	2.8
AC&S/MIS-33663	8.15	1.46	0.18	1.7300000000000004	11.52
AC&S/PAR-66448	3.39	0.59	0.11	0.5700000000000003	4.66
AC&S/PAR-68392	5.81	1.04	0.12	1.21	8.18
AC&S/PER-86344	5.97	0.98	0.2	0.8000000000000007	7.95
AC&S/PER-94855	8.73	1.46	0.71	1.0599999999999987	11.96
AC&S/PIN-84311	2.25	0.41	0.16	0.17999999999999972	3.0
AC&S/PIO-29729	9.72	1.69	0.18	1.17	12.76
AC&S/PIO-85988	3.27	0.61	0.21	0.33999999999999986	4.43
AC&S/RAN-78387	74.61	12.51	2.39	9.879999999999995	99.39
AC&S/ROY-98518	7.12	1.25	0.35	0.6199999999999992	9.34
AC&S/SPE-87427	3.45	0.62	0.26	0.3899999999999997	4.72
AC&S/SPR-99354	5.55	0.87	0.44	0.39999999999999947	7.26
AC&S/STA-55872	12.52	2.14	0.23	1.3200000000000003	16.21
AC&S/TES-27132	3.89	0.7	0.25	0.6200000000000001	5.46
AC&S/TES-57184	13.05	2.26	0.6	1.2199999999999989	17.13
AC&S/TES-82899	4.91	0.92	0.36	0.4499999999999993	6.64
AC&S/TIS-64038	7.85	1.37	0.47	0.27000000000000135	9.96
AUTO/MAX-88877	4.79	0.9	0.1	0.96	6.75
B/2 N-56607	5.61	1.1	0.14	1.1099999999999985	7.959999999999999
B/3M-92257	7.59	1.34	0.38	0.7699999999999996	10.08
B/7 L-82741	4.17	0.8	0.22	0.6500000000000004	5.84
B/ANA-13166	2.69	0.54	0.17	0.43000000000000016	3.83
B/AQU-43191	4.98	0.83	0.2	0.6899999999999968	6.6999999999999975
B/BAB-42040	7.29	1.25	0.15	0.5999999999999996	9.29
B/BAN-33741	10.24	1.69	0.58	0.9600000000000009	13.47
B/BED-56753	5.32	0.93	0.49	0.5199999999999996	7.26
B/BOT-41171	3.21	0.54	0.05	0.54	4.34
B/BUR-06273	15.9	2.45	0.85	1.1099999999999959	20.31
B/CEL-38137	6.03	1.04	0.4	0.259999999999998	7.729999999999999
B/CLE-66037	9.39	1.59	0.78	0.6400000000000006	12.4
B/CLE-87352	1.89	0.36	0.05	0.3500000000000001	2.65
B/CLU-00176	13.66	2.61	0.36	2.1300000000000026	18.76
B/CRE-17039	6.56	1.17	0.47	0.21000000000000085	8.41
B/DES-65792	8.43	1.43	0.15	0.8999999999999986	10.909999999999998
B/DON-77061	3.02	0.55	0.16	0.27999999999999936	4.01
B/DR.-77881	5.44	0.88	0.12	0.41999999999999815	6.8599999999999985
B/E-M-78462	2.53	0.44	0.23	0.3600000000000003	3.56
B/EUC-40903	5.85	1.08	0.32	1.0899999999999999	8.34
B/GIG-88174	3.03	0.49	0.13	0.4200000000000008	4.07
B/JOL-86287	14.55	2.71	0.33	2.460000000000001	20.05
B/JON-59622	2.08	0.39	0.08	0.2699999999999996	2.82
B/KIN-32907	6.01	1.17	0.23	1.0999999999999996	8.51
B/MEI-10823	56.0	10.44	3.48	8.679999999999993	78.6
B/MER-43962	3.21	0.52	0.12	0.16999999999999948	4.02
B/NAT-07496	1.7	0.33	0.03	0.3200000000000003	2.38
B/NOR-14197	1.65	0.29	0.05	0.2699999999999998	2.26
B/NOW-34059	2.41	0.39	0.1	0.2999999999999998	3.2
B/PIB-98602	6.62	1.13	0.14	0.39999999999999947	8.29
B/PIN-22620	3.18	0.53	0.22	0.43999999999999995	4.37
B/PUR-18435	17.43	3.1	1.02	2.1999999999999993	23.75
B/REC-22127	6.16	1.04	0.37	0.5299999999999994	8.1
B/SAT-34605	2.2	0.36	0.05	0.1499999999999999	2.76
B/SCA-29251	2.64	0.47	0.04	0.37999999999999945	3.53
B/SCA-48802	5.95	1.04	0.37	0.7999999999999998	8.16
B/SCA-67649	3.44	0.59	0.28	0.259999999999998	4.5699999999999985
B/SPE-42144	10.68	2.08	0.17	2.1500000000000004	15.08
B/SWI-25764	9.28	1.47	0.42	0.9299999999999997	12.1
B/THE-00005	15.98	2.62	0.61	1.509999999999998	20.72
B/TWE-44044	8.52	1.57	0.22	1.4699999999999989	11.78
B/TWE-52834	3.68	0.66	0.26	0.5099999999999989	5.1099999999999985
B/VIT-59211	2.23	0.43	0.11	0.3500000000000001	3.12
B/WHI-07834	22.16	3.79	1.64	1.5700000000000003	29.16
BBY/BAN-52184	12.37	2.1	0.73	1.3599999999999994	16.56
BBY/CLO-79387	13.47	2.34	0.78	1.029999999999994	17.619999999999994
